title,singer,album
꼬리 (TAIL),선미,꼬리 (TAIL)
작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA
서면역에서,순순희,서면역에서
Memories,Maroon 5,Memories
사랑하는 당신께,폴킴,사랑하는 당신께
술 한잔 해요,경서 (경서예지),술 한잔 해요
봄날,방탄소년단,YOU NEVER WALK ALONE
시작,가호 (Gaho),이태원 클라쓰 OST Part.2
살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),NONSTOP
우리 왜 헤어져야 해,신예영,우리 왜 헤어져야 해
거짓말이라도 해서 널 보고싶어,백지영,거짓말이라도 해서 널 보고싶어
Love poem,아이유,Love poem
너를 만나,폴킴,너를 만나
Dance Monkey,Tones And I,The Kids Are Coming
함께 했는데 이별은 나 혼자인 거야,소정 (레이디스 코드),함께 했는데 이별은 나 혼자인 거야
이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
추억은 만남보다 이별에 남아,정동하,추억은 만남보다 이별에 남아
화(火花),(여자)아이들,I burn
우린 어쩌다 헤어진 걸까,허각,Hello
12:45 (Stripped),Etham,12:45 (Stripped)
안녕,폴킴,호텔 델루나 OST Part.10
딩가딩가 (Dingga),마마무 (Mamamoo),딩가딩가 (Dingga)
Downtown Baby,블루 (BLOO),Downtown Baby
사랑은 지날수록 더욱 선명하게 남아,전상근,한 걸음 : 흔적
마리아 (Maria),화사 (Hwa Sa),María
"CREDIT (Feat. 염따, 기리보이, Zion.T)",릴보이 (lIlBOI),쇼미더머니 9 Final
비로소 너에게 도착했다 (Full Bloom),마크툽 (MAKTUB),Red Moon : Full Bloom (滿開)
I CAN’T STOP ME,TWICE (트와이스),Eyes wide open
홀로,이하이,홀로
Panorama,IZ*ONE (아이즈원),One-reeler / Act IV
Paris In The Rain,Lauv,I met you when I was 18. (the playlist)
Don't Start Now,Dua Lipa,Future Nostalgia
DON'T TOUCH ME,환불원정대,DON'T TOUCH ME
다시 만날까 봐 (Prod.V.O.S),이예준,다시 만날까 봐 (Prod.V.O.S)
"사랑 못해, 남들 쉽게 다 하는 거",먼데이 키즈 (Monday Kiz),"사랑 못해, 남들 쉽게 다 하는 거"
처음처럼,엠씨더맥스 (M.C the MAX),CEREMONIA
FLYING HIGH WITH U,빈첸,FLYING HIGH WITH U
소확행,임창정,힘든 건 사랑이 아니다
아무노래,지코 (ZICO),아무노래
서른 밤째 (바른연애 길잡이 X 윤하 (YOUNHA)),윤하 (YOUNHA),서른 밤째 (바른연애 길잡이 X 윤하 (YOUNHA))
Maniac,Conan Gray,Maniac
눈누난나 (NUNU NANA),제시 (Jessi),NUNA
눈이 멀었다,MC몽,FLOWER 9
Bad Boy,청하,Bad Boy
사랑하게 될 줄 알았어,전미도,슬기로운 의사생활 OST Part 11
"Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)",미란이 (Mirani),쇼미더머니 9 Episode 3
Freak (Prod. Slom),릴보이 (lIlBOI),쇼미더머니 9 Episode 1
한잔이면 지워질까,황인욱,한잔이면 지워질까
What Do I Call You,태연 (TAEYEON),What Do I Call You - The 4th Mini Album
별을 담은 시 (Ode To The Stars),마크툽 (MAKTUB),Red Moon : Ode To The Stars
가을밤에 든 생각,잔나비,잔나비 소곡집 l
멜로디,ASH ISLAND,멜로디
뿌리 (Feat. JUSTHIS) (Prod. GroovyRoom),Khundi Panda,쇼미더머니 9 Episode 3
별빛 같은 나의 사랑아,임영웅,별빛 같은 나의 사랑아
그댈 새겨두어요 (바른연애 길잡이 X 린),린,그댈 새겨두어요 (바른연애 길잡이 X 린)
다시 여기 바닷가,"싹쓰리 (유두래곤, 린다G, 비룡)",다시 여기 바닷가
"ON AIR (Feat. 로꼬, 박재범 & GRAY)",릴보이 (lIlBOI),쇼미더머니 9 Final
FRIENDS (Prod. Slom),릴보이 (lIlBOI),FRIENDS
